,period,seriesId,value,unit
209,2020-03,CLEPGEN_TX,4.2851941,billion kilowatthours
210,2020-02,NGEPCNS_TX,99.341021,billion cubic feet
211,2020-02,CLEPGEN_TX,3.947824918,billion kilowatthours
212,2020-02,CLEPCNS_TX,2911.195,thousand short tons
213,2020-02,PAEPGEN_TX,0.005600183,billion kilowatthours
214,2020-02,PAEPCNS_TX,10.947,thousand barrels
215,2020-02,NGEPGEN_TX,12.468100158,billion kilowatthours
216,2020-01,CLEPCNS_TX,3225.376,thousand short tons
217,2020-01,CLEPGEN_TX,4.36457469,billion kilowatthours
218,2020-01,PAEPGEN_TX,0.002526854,billion kilowatthours
219,2020-01,NGEPGEN_TX,12.775475621,billion kilowatthours
220,2020-01,PAEPCNS_TX,4.997,thousand barrels
221,2020-01,NGEPCNS_TX,101.322595,billion cubic feet
