plantid,plantName
50137,Newgulf Cogen
66321,"King Creek Wind Farm 1, LLC"
66323,"King Creek Wind Farm 2, LLC"
58471,Ector County Energy Center
7394,Gonzales Hydro Plant
6181,J T Deely
50569,DFW Gas Recovery
56113,Tessman Road
10187,Engineered Carbons Echo Cogeneration
57071,Denton Power LLC
57741,Suzlon Project VIII LLC
58424,Harbor Wind LLC
56779,Sherbino I Wind Farm
127,Oklaunion
3477,Lone Star
55104,Sabine Cogen
56834,High Plains
