,period,stateId,producertypeid,energysourceid,capability,capability-units
211,2008,TX,TOT,OBM,101.4,megawatts
212,2008,TX,TOT,OT,254.7,megawatts
213,2008,TX,TOT,NUC,4927,megawatts
214,2008,TX,TOT,NGST,29248.9,megawatts
215,2008,TX,TOT,NGOTH,5,megawatts
216,2008,TX,TOT,NGIC,42,megawatts
217,2008,TX,TOT,NGGT,7271.4,megawatts
218,2008,TX,TOT,NGCC,34242.4,megawatts
219,2008,TX,TOT,NG,70809.7,megawatts
220,2008,TX,TOT,HYC,672.5,megawatts
221,2008,TX,TOT,COL,20189,megawatts
222,2008,TX,IPP,NG,55503,megawatts
223,2008,TX,IPP,HYC,7.2,megawatts
224,2008,TX,IPP,COL,11211,megawatts
225,2008,TX,IPP,ALL,79960.4,megawatts
226,2008,TX,IPP,WOO,179.5,megawatts
227,2008,TX,IPP,WND,7425.4,megawatts
228,2008,TX,IPP,PETST,143.6,megawatts
229,2008,TX,IPP,PETOTH,12,megawatts
230,2008,TX,IPP,PETIC,47.3,megawatts
231,2008,TX,IPP,PET,202.9,megawatts
232,2008,TX,IPP,OOG,187.3,megawatts
233,2008,TX,IPP,OBM,101.4,megawatts
234,2008,TX,IPP,OT,215.7,megawatts
235,2008,TX,IPP,NUC,4927,megawatts
236,2008,TX,IPP,NGST,18436.9,megawatts
237,2008,TX,IPP,NGOTH,5,megawatts
238,2008,TX,IPP,NGIC,39.8,megawatts
239,2008,TX,IPP,NGGT,5513.4,megawatts
240,2008,TX,IPP,NGCC,31507.9,megawatts
241,2008,TX,EU,ALL,25005.1,megawatts
242,2008,TX,EU,WND,1.3,megawatts
243,2008,TX,EU,PETIC,14.8,megawatts
244,2008,TX,EU,PET,14.8,megawatts
245,2008,TX,EU,OT,39,megawatts
246,2008,TX,EU,NGST,10812,megawatts
247,2008,TX,EU,NGIC,2.2,megawatts
248,2008,TX,EU,NGGT,1758,megawatts
249,2008,TX,EU,NGCC,2734.5,megawatts
250,2008,TX,EU,NG,15306.7,megawatts
251,2008,TX,EU,HYC,665.3,megawatts
252,2008,TX,EU,COL,8978,megawatts
253,2007,TX,TOT,ALL,101938,megawatts
254,2007,TX,TOT,WOO,130,megawatts
255,2007,TX,TOT,WND,4490,megawatts
256,2007,TX,TOT,PET,216,megawatts
