entityid,entityName
62063,"Blue Summit III Wind, LLC"
62075,Trinity Hills Wind Farm LLC
62076,Silver Star I Power Partners LLC
62077,Sherbino II Wind Farm LLC
62080,"Lamesa Solar II, L.L.C."
62085,Mesquite Star LLC
62106,Hidalgo Wind Farm II LLC
62113,"Sage Draw Wind, LLC"
62136,Llano Estacado Wind Ranch
62161,"Cubico USA, LLC"
62627,Alchemy Renewable Energy
62635,Wildcat Creek Wind Farm LLC
62659,BMP Wind LLC
62680,BT Coniglio Solar LLC
62682,"Kellam Solar, LLC"
62705,Concho Bluff LLC
62721,"Maryneal Windpower, LLC"
62788,Oberon Solar IA
62789,Oberon Solar IB
62794,"AP Solar 2, LLC"
62836,Navisun LLC
62842,"Lightsource Renewable Energy Asset Management, LLC"
62903,"Silicon Hills Campus, LLC"
62969,"Keechi Wind, LLC"
62993,"Aviator Wind, LLC"
63012,"2W Permian Solar, LLC"
63048,Misae Lessee LLC
63074,Scout Clean Energy LLC
63082,ProEnergy Services
63092,"SE Titan, LLC"
63100,"SE Juno, LLC"
63101,"SE Aragorn, LLC"
63116,"Bluebell Solar II, LLC"
63183,Oxy Renewable Energy LLC
63289,Key Capture Energy
63428,"Bearkat Wind Energy 1, LLC"
63430,"Chisholm Grid, LLC"
63431,"Las Majadas Wind Farm, LLC"
63432,SkyHigh 2 Solar
63437,"Helena Wind, LLC"
63549,"Lily Solar, LLC"
63571,"Azure Sky Solar Project, LLC"
63773,Orsted Onshore North America
63883,Broad Reach Power
64001,West of the Pecos Solar
64083,"DG Central 1, LLC"
64108,"Brazoria West Solar Project, LLC"
64167,Corazon Energy LLC
64209,"El Algodon Alto Wind Farm, LLC"
64251,TG East Wind Project LLC
64260,Nextera Energy Resources
64288,"White Mesa Wind, LLC"
64315,"Walmart Stores Texas, LLC"
64400,Flower Valley
64401,Swoose
64402,Triple Butte
64403,"CED Crane Solar, LLC"
64408,Stockyard Wind
64418,GSEone
64449,"Texas Microgrid, LLC"
64468,Hubbard Wind LLC
64495,Canadian Breaks LLC
64497,Deer Park Refinery Limited Partnership (DPRLP)
64533,"Lacy Creek Wind, LLC"
64564,Byrd Ranch Storage LLC
64568,"BT Noble Solar, LLC"
64608,Sun Valley Solar LLC
64611,"Limestone Wind Project, LLC"
64634,"Cedro Hill Wind, LLC"
64644,Goat Wind LP
64655,"Appaloosa Run Wind, LLC"
64668,"Wildorado Wind, LLC"
64719,Victoria Port Power II
64758,SJRR			
64802,"Longbow Solar, LLC"
64808,Verizon Communications
64812,"Power Depot Group A, LLC"
64835,"Tres City Power, LLC"
64847,"Inertia Wind Project, LLC"
64909,"Pisgah Ridge Solar, LLC"
64917,"Rayos del Sol Solar Project, LLC"
65013,"Young Wind, LLC"
65076,"HEN Infrastructure, L.L.C."
65117,Hecate Energy Upshur Rural LLC
65182,Flower Valley II
65183,Swoose II
65184,Crossett Power Management LLC
65221,Brazoria County Solar Project
65370,
65401,
65408,
65409,
65431,
7370,City of Gonzales - (TX)
65260,"Tres Port Power, LLC"
61608,"Agilon Energy Holdings II, LLC"
19740,AES Wind Generation Inc
59365,Capital Power Corporation
17139,Shell Oil Co-Deer Park
56351,Denton Power LLC
57054,Suzlon Project VIII LLC
58420,Harbor Wind Tenant LLC
59745,First Solar Asset Management
59883,NRG Energy Gas & Wind Holdings Inc
60040,Hale Wind Energy
60844,"Flat Top Wind I, LLC"
62811,Sherbino Mesa I Windfarm LLC
63713,CatanSolar
63884,Oklaunion Power Station
16668,Sabine Cogen LP
56046,High Plains Wind Power LLC
